rank,city,state
265,Gresham,Oregon
266,High Point,North Carolina
267,Broken Arrow,Oklahoma
268,Peoria,Illinois
269,Lansing,Michigan
270,Lakeland,Florida
271,Pompano Beach,Florida
272,Costa Mesa,California
273,Pueblo,Colorado
274,Lewisville,Texas
275,Miami Gardens,Florida
276,Las Cruces,New Mexico
277,Sugar Land,Texas
278,Murrieta,California
279,Ventura,California
280,Everett,Washington
281,Temecula,California
282,Dearborn,Michigan
283,Santa Maria,California
284,West Covina,California
285,El Monte,California
286,Greeley,Colorado
287,Sparks,Nevada
288,Centennial,Colorado
289,Boulder,Colorado
290,Sandy Springs,Georgia
291,Inglewood,California
292,Edison,New Jersey
293,South Fulton,Georgia
294,Green Bay,Wisconsin
295,Burbank,California
296,Renton,Washington
297,Hillsboro,Oregon
298,El Cajon,California
299,Tyler,Texas
300,Davie,Florida
301,San Mateo,California
302,Brockton,Massachusetts
303,Concord,North Carolina
304,Jurupa Valley,California
305,Daly City,California
306,Allen,Texas
307,Rio Rancho,New Mexico
308,Rialto,California
309,Woodbridge,New Jersey
310,South Bend,Indiana
311,Spokane Valley,Washington
312,Norwalk,California
313,Menifee,California
314,Vacaville,California
315,Wichita Falls,Texas
316,Davenport,Iowa
317,Quincy,Massachusetts
318,Chico,California
319,Lynn,Massachusetts
320,Lee's Summit,Missouri
321,New Bedford,Massachusetts
322,Federal Way,Washington
323,Clinton,Michigan
324,Edinburg,Texas
325,Nampa,Idaho
326,Roanoke,Virginia
